,Cal_ID,SMILES,TC,RI,DC
40,PI1201,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4cc(Br)cc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,1.785,394.5438747,0.354
41,PI1180,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3c(C)cc(Cc4cc(C)c(NC(=O)c5ccc(*)cc5)c(C(C)C)c4)cc3C(C)C)cc2)cc1C(C)(C)C,1.798,294.6172991,0.302
42,PI773,*Oc1ccc2c(c1)nc1c3cc4c(=O)n5c6cc(*)ccc6nc5c4cc3c(=O)n21,1.714,258.64919419999995,0.283388677
43,PI1159,*c1cc(Br)c(OC(=O)c2ccc(C(=O)Oc3c(Br)cc(C4(*)OC(=O)c5ccccc54)cc3Br)cc2)c(Br)c1,1.7819999999999998,353.61059700000004,0.282
44,PI715,*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccccc3/C=C/c3ccc(/C=C/c4ccccc4C(*)=O)cc3)cc2)cc1,1.6669999999999998,356.5315415,0.482912726
45,PI1156,*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccccc3/C=C/c3ccc(/C=C/c4ccccc4C(*)=O)cc3)c(C)c2)cc1C,1.633,79.41101748,1.072
46,PI1186,*c1ccc2c(c1)-c1nc3cc(-c4ccc5nc6n(c5c4)C(=O)c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4-6)ccc3n1C2=O,1.7009999999999998,213.3901,0.306
47,PI821,*C(=O)Nc1cccc(C#Cc2cccc(N3C(=O)c4ccc(*)cc4C3=O)c2)c1,1.775,333.557633,0.27414792600000004
48,PI822,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c(-c3ccccc3)c2)cc1,1.7990000000000002,326.3505286,0.244614479
49,PI819,*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,1.7169999999999999,366.4021793,0.30007615600000004
50,PI1200,*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5ccccc5)c5c(=O)n(*)c(=O)c5c(-c5ccccc5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,1.7630000000000001,395.5363082,0.8
51,PI933,*C1CCC(CC2CCC(N3C(=O)C4C5C=CC(C6C(=O)N(*)C(=O)C56)C4C3=O)C(C)C2)CC1C,1.629,211.19269049999997,0.219509175
52,PI932,*c1ccc(Sc2ccc(Sc3ccc(Sc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,1.694,205.16552980000003,0.217293555
53,PI767,*Oc1ccc2c(c1)C1(CC2(C)C)CC(C)(C)c2ccc(OC(*)=O)cc21,1.58,243.6713048,0.308291763
54,PI1117,[*]Nc1cccc(NC(=O)c2ccc(C([*])=O)cc2)c1,1.5230000000000001,244.23186710000002,0.19889210699999998
55,PI1194,[*]Nc1ccc(NC(=O)c2ccc(C([*])=O)cc2)cc1,1.5919999999999999,296.4983567,0.21100000000000002
56,PI216,[*]c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,1.38,177.4651139,0.109340544
57,PI212,[*]c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)c2)cc1,1.4369999999999998,155.6094533,0.111121575
58,PI946,[*]c1ccc2cc(-c3nc4ccc(-c5ccc6nc([*])[nH]c6c5)cc4[nH]3)ccc2c1,1.651,317.38968660000006,0.18416099
59,PI1051,[*]C#CC=C[*],1.47,301.54769310000006,0.12277938099999999
60,PI1184,[*]c1cccc(-c2nc3cc(-c4ccc5oc([*])nc5c4)ccc3o2)c1,1.764,225.21354989999998,0.355
61,PI872,[*]c1ccc(-c2nc3cc(-c4ccc5oc([*])nc5c4)ccc3o2)cc1,1.744,341.1060267,0.24210884600000002
62,PI1085,[*]c1nc2cc(-c3ccc4oc(-c5cccc6cc7c([*])cccc7cc56)nc4c3)ccc2o1,1.739,252.26314309999998,0.209987039
63,PI891,[*]c1ccc(-c2ccc(-c3nc4cc5nc([*])oc5cc4o3)cc2)cc1,1.624,194.8478303,0.179353601
64,PI925,[*]c1nc2cc3nc(-c4ccc([*])o4)[nH]c3cc2[nH]1,1.595,292.9408732,0.155531081
65,PI1177,[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)c(O)c1,1.791,231.4429232,0.588
