,ID,SMILES,RI,Tg,TC,MW_ratio,Mass_ave,K_bond_min,K_bond_ave,K_ang_ave,Theta0_ave,K_dih_max,K_dih_ave,VE1_A,AATS0d,AATS0Z,BalabanJ,HybRatio,SaasC,ETA_dBeta,IC1,IC3,MIC1,Mor14,SMR_VSA5,VSA_EState4,VSA_EState8,VR3_A,nN,AATS2d,ATSC1d,ATSC3d,Xch-6d,SlogP_VSA1,SMILES,Monomer_length,Mass_max,nH,ATSC2Z,ATSC5Z,AATSC0Z,AATSC2Z,BCUTd-1h,BCUTZ-1h,nHBDon,MIC0,Kier3,Mor02,Mor19,SMR_VSA1,SMR_VSA3
363,PI380,*C(C*)P(=O)(c1ccccc1)c1ccccc1,1.581,134.9068092,0.152952702,0.122940764,7.870034483,136.02,358.863871,57.57051852,116.5514815,3.625,2.236781609,3.665242198,3.322580645,26,2.142991673,0.142857143,2.131944444,3.25,2.528601168,3.873235826,21.59369138,0.005294012,13.08564723,0,1.278835664,5.247348392,0,3.722222222,6.738813736,-6.16024974,0.204124145,10.60907979,*C(C*)P(=O)(c1ccccc1)c1ccccc1,2.65,30.974,13,22.31841831,-172.3475546,11.01560874,0.413304043,4.043934706,15.0096289,0,14.2576986,2.962962963,20.30039727,0.380284416,4.565048285,0
364,PI381,*C(C*)P(=O)(OCC)N(C)C,1.468,68.06852689,0.207524248,0.171957348,6.798208333,177.19,336.925,56.74565217,109.7241304,5,0.610288889,3.004847529,2.538461538,24.30769231,4.371431646,1,0,-6,2.496479375,3.690260391,26.50608656,0.569588007,20.00938443,0,3.748687484,3.982909682,1,2.630434783,7.852071006,-10.07100592,0,0,*C(C*)P(=O)(OCC)N(C)C,2.67,30.974,14,107.112426,-138.3372781,12.85207101,2.328531001,4.038955838,15.01008205,0,19.0343978,2.777777778,13.70377425,0.864353452,9.088795447,4.67041619
365,PI382,*C(C*)P(=O)(N(C)C)Oc1ccccc1,1.531,61.1274174,0.193867563,0.132847268,7.542892857,177.19,355.0644828,59.31338462,113.4811538,5,1.635810811,3.45929723,3,25.86666667,2.618190673,0.4,0.734290123,-2,3.04860373,4.098068512,27.74715772,0.325341692,13.08564723,0,1.196717608,4.896549418,1,3.173076923,7.266666667,-6.297777778,0.102062073,4.523747162,*C(C*)P(=O)(N(C)C)Oc1ccccc1,2.67,30.974,14,89.29777778,-71.26222222,11.92888889,1.717264957,4.038980978,15.01008258,0,18.38720082,3.495198903,25.02071507,0.786496683,9.088795447,4.67041619
366,PI383,*C(C*)c1nc(nc(n1)C)C,1.519,83.50434574,0.263398106,0.207559731,7.114210526,218.51,353.376,61.04325,112.6530556,4.8,1.258333333,3.19466379,3.095238095,19.42857143,2.432083066,0.571428571,2.862962963,-2,2.390455517,3.368042423,19.86749159,0.211356713,27.19203322,0,5.336464475,3.990836833,3,3.111111111,4.285714286,-1.387755102,0.068041382,0,*C(C*)c1nc(nc(n1)C)C,2.6,14.007,9,97.18367347,-198.2244898,7.673469388,2.699546485,3.136630096,7.086579137,0,12.49125226,2.777777778,18.42994334,0.35535986,0,14.95193556
367,PI384,*C(C*)OC(=O)CCCCCCCCC,1.458,-23.24952865,0.286467814,0.141474236,5.5085,218.51,336.7711111,51.88861429,109.5612857,2.7,0.2010011,3.271204727,2.210526316,15.31578947,3.177221919,0.916666667,0,-7.25,2.096375406,3.912952357,18.57287311,2.049170568,71.82092935,0,3.946447211,5.549837282,0,2.214285714,0.864265928,0.540166205,0,0,*C(C*)OC(=O)CCCCCCCCC,2.59,15.999,22,-46.06648199,-56.60941828,6.936288089,-0.6580926,3.046515007,8.028762382,0,10.34466691,11.32444444,45.52494139,1.782488979,9.531400138,0
368,PI385,*C(C*)OC(=O)CCCCC,1.438,-43.14681143,0.259631398,0.197299958,5.924916667,218.51,341.0966667,53.64684783,109.481087,2.7,0.245247863,3.066242819,2.307692308,16.53846154,3.260240299,0.875,0,-5.25,2.390522164,4.132944045,21.44433772,1.261643612,46.13764286,0,3.854393109,4.144189989,0,2.239130435,0.852071006,0.514792899,0,0,*C(C*)OC(=O)CCCCC,2.62,15.999,14,-10,-60,7.538461538,-0.217391304,3.0465011,8.028757347,0,11.32314363,7.438016529,34.32596956,1.093383453,9.531400138,0
369,PI386,*C1c2c(CC1*)cccc2,1.55,151.5033357,0.161666133,1,6.833117647,218.51,344.2021053,56.41261111,115.2063889,3.625,1.4464903,3.108698057,3.473684211,17.47368421,2.054166477,0.333333333,3.430555556,-0.5,2.774243303,3.826874882,18.80073704,0.219607531,19.26246487,3.430555556,0,3.844941732,0,3.777777778,2.257617729,-7.939058172,0.351579285,0,*C1c2c(CC1*)cccc2,2.7,12.011,8,-17.55955679,-6.900277008,6.825484765,-0.487765466,3.212721294,6.32010432,0,6.662856895,1.209829868,20.73876539,0.423569294,0,0
370,PI387,*C1C(=O)OC(=O)C1C(C*)OC,1.464,145.6356784,0.21637842,0.807684918,8.217736842,232.52,352.221,62.22876316,111.5984211,2.7,0.393375479,3.190088322,3.333333333,24.57142857,2.658499151,0.714285714,0,-5.5,2.963745994,4.070656113,28.83767931,0.371099356,19.44852521,0,0.992268519,4.281401708,0,3.578947368,4.80952381,-9.995464853,0.281063182,0,*C1C(=O)OC(=O)C1C(C*)OC,4.91,15.999,8,56.63038549,60.41950113,9.324263039,1.490273302,3.198919189,8.034060141,0,14.17072789,2.083333333,23.42192317,0.672196859,19.06280028,0
371,PI388,*C(C(C(C*)OC)C(=O)O)C(=O)O,1.459,124.5961719,0.302701509,0.322213929,7.916,232.52,372.3554545,61.56612821,111.1517949,2.3,0.372685824,3.281347285,2.916666667,24.25,4.56260033,0.714285714,0,-5.5,3.168295834,4.220175521,28.51059956,0.833089224,19.44852521,0,0.767268519,4.32672568,0,3.205128205,4.75,-6.75,0,0,*C(C(C(C*)OC)C(=O)O)C(=O)O,5.21,15.999,10,42.08333333,137.0833333,9.555555556,1.079059829,3.196227441,8.031085237,2,14.30078069,3.96,20.8572223,0.461528192,24.53899211,0
372,PI389,*C(=CCCC*)c1ccc(cc1)OC,1.617,84.99037025,0.225130935,0.39096752,6.453444444,232.52,357.195,55.41420408,115.2312245,6.65,1.816497512,3.344503382,2.75862069,17.5862069,2.147017453,0.333333333,2.370233397,-1,3.198016668,4.487122805,24.48003811,0.972533282,19.76538045,1.415688776,1.534119585,5.109923347,0,2.87755102,4.448275862,-3.24137931,0.083333333,4.736862954,*C(=CCCC*)c1ccc(cc1)OC,5.71,15.999,14,-12.62782402,0.154577883,7.079667063,-0.257710694,3.1416774,8.011075501,0,9.518343956,4.571428571,32.87534857,0.99607999,4.736862954,0
373,PI390,*C(=CCCC*)c1ccccc1,1.628,81.39265449,0.210673224,0.472370519,6.270304348,232.52,359.46375,54.01042857,116.0716667,6.65,1.892505376,3.159081091,2.72,16.32,2.094003327,0.272727273,1.477448035,0,2.93868857,4.21366069,19.9604764,0.871930433,19.76538045,1.477448035,1.55413659,4.656976416,0,2.833333333,1.92,-0.8288,0.102062073,0,*C(=CCCC*)c1ccccc1,5.36,12.011,12,-35.0352,-8.736,6.5856,-0.834171429,3.141307653,6.31760201,0,6.771829473,4.152249135,31.46814599,0.644975344,0,0
374,PI391,*C(=CCCC*)c1ccc(cc1)Cl,1.635,89.75595482,0.170800563,0.381317513,7.767913043,181.97,350.5575,55.1262381,116.0483333,6.65,1.892505376,3.262194753,2.92,27.84,2.134471089,0.272727273,2.239307471,-0.25,3.239079571,4.40385619,28.25025055,0.656329253,19.76538045,1.40050359,1.532140705,4.91333519,0,2.976190476,1.64,-0.5392,0.083333333,0,*C(=CCCC*)c1ccc(cc1)Cl,5.04,35.453,11,14.2192,45.536,13.7024,0.338552381,3.141651794,17.00110192,0,13.37035568,4.387811634,30.25814724,0.560402599,0,0
375,PI392,*C(C*)CNc1ccc(cc1)[N+](=O)[O-],1.647,130.3894772,0.252535899,0.157454688,7.747434783,218.51,356.2558333,60.9022381,115.4485714,3.625,1.5056,3.395724298,3.12,22.4,2.1445576,0.333333333,1.155924377,-0.75,3.379470571,4.32385619,27.50467443,0.0516843,13.34455882,1.155924377,2.556837601,4.878200866,2,3.142857143,0.6,-0.92,0.083333333,5.316788604,*C(C*)CNc1ccc(cc1)[N+](=O)[O-],2.66,15.999,10,17.6992,-11.3136,8.2624,0.421409524,3.134688342,8.054428459,1,15.65322482,4.571428571,26.07017916,0.157931061,4.923311049,0
376,PI393,*C(C*)CNc1ncc(cc1)[N+](=O)[O-],1.637,132.0134223,0.238277713,0.156584821,8.1445,218.51,357.3995652,63.48635,115.118,4.8,1.451868852,3.395724298,3.208333333,23.83333333,2.1445576,0.375,0.794813266,-1.25,3.736440502,4.418295834,32.54214799,0.063013803,13.34455882,0.0456466,2.466559823,4.878200866,3,3.175,0.375,0.015625,0.083333333,5.316788604,*C(C*)CNc1ncc(cc1)[N+](=O)[O-],2.64,15.999,9,28.61111111,-6.770833333,8.493055556,0.715277778,3.134688342,8.054430247,1,16.91282196,4.571428571,30.41187871,0.404102353,4.923311049,4.983978521
377,PI394,*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])C,1.619,113.3072107,0.245603324,0.145963379,7.393,218.51,353.0555556,59.3838125,114.6827083,3.625,1.378366197,3.44532916,3.071428571,21.35714286,2.301845012,0.4,2.180965005,-1.25,3.4677201,4.423251797,29.06936671,0.079778099,20.26829602,2.180965005,4.473657801,5.103931169,2,3.166666667,3.428571429,-2.87755102,0.068041382,5.316788604,*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])C,2.59,15.999,12,49.05102041,-20.1122449,8.086734694,1.021896259,3.181220671,8.054429816,1,15.06027352,4.423611111,25.15567381,0.570154082,4.923311049,0
378,PI395,*C(C*)CNc1cc(c(cc1)[N+](=O)[O-])C(F)(F)F,1.557,127.3194185,0.206534587,0.113967751,9.468769231,218.51,350.47,67.07625,114.7502083,3.625,1.378366197,3.613623137,3.607142857,29.92857143,2.585261553,0.4,-1.792786412,-3.5,3.74041553,4.423251797,35.5554051,0.305804252,19.52085734,-1.792786412,1.949124425,5.834798507,2,3.5,-0.535714286,1.417091837,0.068041382,5.316788604,*C(C*)CNc1cc(c(cc1)[N+](=O)[O-])C(F)(F)F,2.77,18.998,9,105.5,102.5,9.678571429,2.197916667,4.022233054,9.014087474,1,21.62190706,5.12,24.74507923,0.249356493,18.09455619,0
379,PI396,*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-],1.641,146.7086066,0.236441097,0.125711214,8.92752,218.51,351.8346154,64.83482222,115.7266667,3.625,1.458898551,3.595885701,3.444444444,27.25925926,2.511813186,0.333333333,-0.097553514,-1,3.500283688,4.384517132,31.05579556,-0.047355873,13.34455882,-0.097553514,2.079295556,5.432707534,3,3.488888889,1.333333333,0.333333333,0.068041382,5.316788604,*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-],2.64,15.999,9,53.95061728,5.227709191,8.801097394,1.198902606,3.207124452,8.056867326,1,18.34136445,4.897959184,28.93560355,0.299654445,9.846622098,0
380,PI397,*C1C(C(C(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,1.554,78.45762602,0.263259921,0.098136646,6.643761905,232.52,355.4729771,55.4328,113.7281667,3.625,1.134684932,3.62332545,2.90625,19.453125,0.787856428,0.5,7.483753737,-3.5,3.081522904,5.093444531,27.10551874,5.069039413,147.5481024,5.719139866,2.623290728,15.46174872,2,3.083333333,12.765625,-1.42578125,0.57856742,9.473725908,*C1C(C(C(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,4.58,15.999,64,-82.16015625,10.42480469,7.093505859,-0.342333984,3.179498049,8.031861703,0,11.43738754,20.86899252,115.7949464,4.561398993,28.53652618,0
381,PI398,*C1C(CC(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,1.563,63.80031147,0.268797476,0.178733032,6.473661972,232.52,351.0391892,54.8497971,113.2455797,3.625,0.98805296,3.295754095,2.863013699,18.60273973,1.069800178,0.551724138,3.818988776,-4,3.065157027,5.216954011,26.51435312,3.195439568,90.07756306,2.911377422,2.240520562,10.65509312,1,3.028985507,5.99774817,-3.752674048,0.398974475,4.736862954,*C1C(CC(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,4.33,15.999,37,-45.19403265,-36.65077876,7.061362357,-0.32749299,3.1426198,8.028948734,0,11.04882131,11.34007134,77.71428656,2.962407226,14.26826309,0
382,PI400,*C(C*)N1CNCC1,1.529,107.6923015,0.239553034,0.285830702,5.773470588,218.51,326.15,58.94891667,108.7355556,1.75,0.248192982,2.807752525,2.631578947,15.15789474,2.235462318,1,0,-6.25,2.535857776,3.826874882,19.1658041,1.051505073,13.46849361,0,6.518842593,3.263593355,2,2.777777778,1.631578947,-5.667590028,0.083333333,5.316788604,*C(C*)N1CNCC1,2.62,14.007,10,-25.20775623,8.778393352,7.08033241,-0.700215451,3.116826455,7.037221224,1,11.36775845,1.704142012,26.55753511,0.66688431,0,10.21669833
383,PI402,*C(C*)OCCCCCCCCCCCCCCCCCC,1.453,9.574945447,0.364697261,0.094605529,4.861295082,218.51,327.8529508,49.64761983,109.5597521,0.383333333,0.135325173,3.812507045,2.031746032,13.07936508,2.973348791,1,0,-12,1.550658911,2.955369204,12.52718207,4.6170247,123.1875023,0,5.676943617,6.649978296,0,2.123966942,0.555555556,-2.22E-16,0,0,*C(C*)OCCCCCCCCCCCCCCCCCC,2.57,15.999,40,-162.5555556,-8.88E-16,5.968253968,-1.343434343,3.025735698,8.010008274,0,8.249252436,19.95464853,78.99150037,3.368863074,4.736862954,0
384,PI403,*C(C*)OC(=O)c1ccc(cc1)C#N,1.575,107.2333012,0.188964216,0.162027948,8.65855,218.51,391.347619,62.60974286,116.9808571,3.625,1.875377358,3.457768119,3.409090909,24.72727273,2.261707494,0.222222222,1.113702155,1.5,3.42511855,4.368522528,30.14996846,0.284007435,13.53061916,1.113702155,1.440098786,4.719101018,1,3.428571429,0.863636364,-1.849173554,0.083333333,0,*C(C*)OC(=O)c1ccc(cc1)C#N,2.65,15.999,7,22.19834711,-107.4958678,7.991735537,0.634238489,3.136696571,8.028766125,0,14.61094332,4.165289256,23.34759208,0.233673934,9.531400138,0
385,PI404,*C(C*)OCC(CC(C)C)(C)C,1.455,34.12580304,0.254371124,0.179526552,5.040935484,218.51,327.5945161,51.42796721,109.3736066,0.383333333,0.139582375,3.136448691,2.303030303,13.45454545,3.743567761,1,0,-7,2.122013456,3.801377452,18.33528346,1.527871849,47.64638959,0.398726852,12.49559886,4.280534379,0,2.540983607,2.555555556,-0.666666667,0,0,*C(C*)OCC(CC(C)C)(C)C,2.6,15.999,20,20.77777778,-183.3333333,6.343434343,0.340619308,4.018012711,8.010002196,0,9.156229417,7.100591716,33.13408523,0.902377679,4.736862954,0
386,PI405,*C(C(*)(F)F)(OC(C(F)F)F)F,1.332,25.41779469,0.143872872,0.455570365,13.84976923,232.52,318.28,82.84548,109.3936,0.383333333,0.189727946,3.13254877,4.266666667,46.4,4.340548557,1,0,-8.5,2.606238929,3.640223929,27.1168817,-0.489650435,25.56636096,0,0,4.202064329,0,3.08,-5.271111111,5.84,0,0,*C(C(*)(F)F)(OC(C(F)F)F)F,2.61,18.998,2,-90.55555556,-4.28,11.98222222,-3.622222222,4.112362735,9.012626998,0,20.71101504,3.703703704,16.61579502,-0.051387775,31.07935324,0
387,PI406,*C(C*)C(=O)c1ccc(cc1)Br,1.608,89.72830679,0.12605159,0.132947977,11.72544444,162.15,354.71,58.81209091,114.8666667,3.625,1.785480769,3.315398512,3.35,81,2.348285875,0.222222222,1.94941421,0.75,3.18418372,4.221928095,40.16162866,0.101100114,13.34455882,0.905787037,1.258826649,4.203428549,0,3.393939394,1.15,-2.2,0.083333333,0,*C(C*)C(=O)c1ccc(cc1)Br,2.59,79.904,7,88.92,68.48,53.96,2.694545455,3.167090698,35.00041771,0,27.48515404,3,18.89344665,0.139344859,4.794537184,0
388,PI407,*C(C*)OC(=O)CC1CCCC1,1.471,15.39955508,0.236625928,0.18193607,6.16836,218.51,332.7446154,54.55098077,109.7348077,2.7,0.221392236,3.275893673,2.666666667,17.25925926,2.119177872,0.888888889,0,-6.25,2.410333098,3.865998613,21.60848349,0.64757366,45.63472728,0,1.726900983,4.333737057,0,2.730769231,0.148148148,-2.818930041,0.102062073,0,*C(C*)OC(=O)CC1CCCC1,2.6,15.999,14,-14.24691358,-58.14814815,7.580246914,-0.273979107,3.051274891,8.028758771,0,11.29086413,4.152249135,36.143342,1.284048212,9.531400138,0
389,PI408,*C(C*)N1C(=O)CCC1,1.499,139.4322079,0.236040386,0.252428931,6.537882353,218.51,337.1144444,58.52994444,109.1216667,2.5,0.320095785,2.910061294,2.894736842,17.78947368,2.38352339,0.833333333,0,-5,2.641120934,3.826874882,23.33547873,0.457897825,26.31013685,0,3.333564815,3.544063674,1,3,2.315789474,-7.653739612,0.185892512,0,*C(C*)N1C(=O)CCC1,2.65,15.999,9,9.897506925,-25.06371191,7.817174515,0.274930748,3.158175432,8.02201018,0,13.53085202,1.75,23.12285837,0.445568107,4.794537184,4.899909731
390,PI410,*C(C*)C(=O)O,1.509,90.09179939,0.351557632,0.389343694,8.007,218.51,377.4466667,61.2314375,108.250625,2.3,0.284615385,2.45983181,2.727272727,21.81818182,3.144208207,0.666666667,0,-2.5,2.845350937,3.277613437,22.22764492,0.444563745,13.34455882,0,1.078703704,2.397727455,0,2.4375,-0.115702479,-1.033057851,0,0,*C(C*)C(=O)O,2.73,15.999,4,24.12396694,20.52892562,9.884297521,1.507747934,3.121093542,8.028623799,1,13.82946063,2.666666667,15.27314803,0.14168979,9.901064579,0
391,PI411,*C(C*)C(=O)OC,1.46,23.8857385,0.249473618,0.325900116,7.174166667,218.51,352.9866667,59.31436364,108.1781818,2.7,0.322413793,2.595082264,2.571428571,19.85714286,3.292478156,0.75,0,-3.25,2.556656707,3.324862958,22.29580943,0.387356257,13.34455882,0,1.214953704,2.796829697,0,2.363636364,1.816326531,-3.469387755,0,0,*C(C*)C(=O)OC,2.63,15.999,6,22.08163265,-1.734693878,9.06122449,1.003710575,3.122866455,8.029031356,0,13.14680943,2.8125,16.47753066,0.564525242,9.531400138,0
392,PI412,*C(C*)C(=O)OCC,1.455,0.012468995,0.261966182,0.280235694,6.674466667,218.51,348.0133333,57.18946429,108.3017857,2.7,0.301315789,2.713067211,2.470588235,18.58823529,3.324760174,0.8,0,-3.75,2.558051077,3.572469459,22.6489716,0.368842008,20.26829602,0,3.646010015,3.1858021,0,2.285714286,1.830449827,-1.965397924,0,0,*C(C*)C(=O)OCC,2.6,15.999,8,21.28373702,-67.32179931,8.498269896,0.760133465,3.12289209,8.028752816,0,12.56418386,3.555555556,20.70502481,0.448226239,9.531400138,0
393,PI413,*C(C*)C(=O)OCCC,1.452,-29.16872874,0.245170112,0.245795375,6.341333333,218.51,344.6977778,55.65932353,108.5511765,2.7,0.262033097,2.812768017,2.4,17.7,3.308840255,0.833333333,0,-4.25,2.560964047,3.78418372,22.99185626,0.644009072,26.68911765,0,3.877236867,3.572803093,0,2.264705882,1.84,-0.12,0,0,*C(C*)C(=O)OCCC,2.63,15.999,10,11.14,-46.59,8.09,0.327647059,3.122895991,8.028753221,0,12.07756088,4.48,27.08809508,0.646659127,9.531400138,0
394,PI414,*C(C*)C(=O)OC(C)C,1.447,9.534302701,0.251403563,0.245795375,6.341333333,218.51,344.6977778,56.10729412,108.4067647,2.7,0.278652482,2.884070476,2.5,17.7,3.502717697,0.833333333,0,-4.25,2.460964047,3.346439345,21.79075626,0.473399039,33.29599961,0,5.032992252,3.3997211,0,2.411764706,1.84,-0.52,0,0,*C(C*)C(=O)OC(C)C,2.6,15.999,10,46.14,-127.96,8.09,1.357058824,3.123500973,8.028762167,0,12.07756088,4.48,23.86000556,0.766268914,9.531400138,0
395,PI415,*C(C*)C(=O)OCCCC,1.45,-37.28202314,0.255094023,0.218893829,6.103380952,218.51,342.3295238,54.588225,108.72575,2.7,0.239384921,2.894598448,2.347826087,17.04347826,3.276810377,0.857142857,0,-4.75,2.479233695,3.96900163,22.27842405,0.652100969,33.10993927,0,3.98634086,3.961890802,0,2.25,1.846880907,-0.107750473,0,0,*C(C*)C(=O)OCCCC,2.58,15.999,12,1.423440454,-36.29111531,7.780718336,0.035586011,3.12289902,8.028754463,0,11.66929449,5.289256198,30.74767741,0.663180433,9.531400138,0
396,PI416,*C(C*)C(=O)OCC(C)C,1.447,16.95942036,0.241958713,0.218893829,6.103380952,218.51,342.3295238,54.843625,108.713,2.7,0.23109127,2.994700568,2.434782609,17.04347826,3.429864003,0.857142857,0,-4.75,2.479233695,3.588354347,22.27842405,0.971474378,27.19203322,0,5.967112623,3.710122009,0,2.4,1.846880907,1.674858223,0,0,*C(C*)C(=O)OCC(C)C,2.58,15.999,12,26.42344045,-24.30245747,7.780718336,0.660586011,3.122954902,8.028754717,0,11.66929449,5.289256198,27.43739536,0.755710142,9.531400138,0
397,PI418,*C(C*)C(=O)OC(C)(C)C,1.432,54.78592366,0.228960032,0.218893829,6.103380952,218.51,342.3295238,55.598625,108.5015,2.7,0.255178571,3.031101396,2.608695652,17.04347826,3.77041322,0.857142857,0,-4.75,2.359455977,2.98946576,20.83977388,0.626413465,39.71682123,-0.278935185,6.994511527,3.634412254,0,2.65,1.846880907,0.892249527,0,0,*C(C*)C(=O)OC(C)(C)C,2.71,15.999,12,96.42344045,-185.5085066,7.780718336,2.410586011,4.017051763,8.028771591,0,11.66929449,5.289256198,25.8368174,1.046620932,9.531400138,0
398,PI419,*C(C*)C(=O)OCCCCCC,1.447,-51.96269837,0.259092425,0.179584,5.786111111,218.51,339.1718519,53.18755769,108.9540385,2.7,0.210615616,3.011234356,2.275862069,16.13793103,3.210752919,0.888888889,0,-5.75,2.306256857,4.142295219,20.63234762,1.586212154,45.95158251,0,4.088158905,4.750378718,0,2.230769231,1.856123662,-0.096313912,0,0,*C(C*)C(=O)OCCCCCC,2.62,15.999,16,-17.21403092,-24.08085612,7.343638526,-0.331039056,3.122904953,8.028756973,0,11.02628821,7.100591716,39.04243462,1.370847696,9.531400138,0
399,PI420,*C(C*)C(=O)OCCCCCCC,1.444,-55.28471382,0.258296751,0.164787409,5.675066667,218.51,338.0666667,52.70456897,109.0327586,2.7,0.200910308,3.05044742,2.25,15.8125,3.183506093,0.9,0,-6.25,2.229115922,4.116729297,19.87992153,1.401633416,52.37240414,0,4.115238485,5.149073239,0,2.224137931,1.859375,-0.09375,0,0,*C(C*)C(=O)OCCCCCCC,2.58,15.999,18,-26.2734375,-23.40234375,7.18359375,-0.452990302,3.122907926,8.028758231,0,10.76894054,8.081632653,37.63080975,1.555558353,9.531400138,0
400,PI421,*C(C*)C(=O)OCCCCCCCC,1.454,-57.79439109,0.283339543,0.152243503,5.584212121,218.51,337.1624242,52.31214063,109.0967187,2.7,0.193103865,3.079976727,2.228571429,15.54285714,3.160717629,0.909090909,0,-6.75,2.159330534,4.022000517,19.19431906,2.206308727,58.79322576,0,4.134753014,5.549619528,0,2.21875,1.862040816,-0.092244898,0,0,*C(C*)C(=O)OCCCCCCCC,2.58,15.999,20,-35.2155102,-22.88653061,7.049795918,-0.550242347,3.122910905,8.02875949,0,10.54364314,8.96,45.02935796,1.603387955,9.531400138,0
401,PI422,*C(C*)C(=O)OCCCCCCCCCCCC,1.455,-29.60476118,0.309141226,0.116707566,5.341933333,218.51,334.7511111,51.27755682,109.2653409,2.7,0.172855903,3.138050437,2.170212766,14.80851064,3.103863749,0.933333333,0,-8.75,1.941286325,3.591510926,17.03343365,2.787838962,84.47651225,0,4.176938977,7.154771807,0,2.204545455,1.869171571,-0.090991399,0,0,*C(C*)C(=O)OCCCCCCCCCCCC,2.62,15.999,28,-70.23947488,-21.69488456,6.679945677,-0.798175851,3.122922886,8.028764539,0,9.865642996,12.76454294,58.52416406,2.234062734,9.531400138,0
402,PI423,*C(C*)C(=O)OCCCCCCCCCCCCCC,1.45,-38.10686388,0.313712263,0.10451041,5.26354902,218.51,333.9709804,50.94649,109.3193,2.7,0.166476408,3.148378604,2.150943396,14.56603774,3.088882074,0.941176471,0,-9.75,1.859627058,3.403515749,16.21926188,3.25196186,97.3181555,0,4.187935326,7.952310639,0,2.2,1.871484514,-0.091491634,0,0,*C(C*)C(=O)OCCCCCCCCCCCCCC,2.56,15.999,32,-87.4749021,-21.36988252,6.556069776,-0.874749021,3.122928916,8.028767072,0,9.617432445,14.69387755,63.23482923,2.953247687,9.531400138,0
403,PI424,*C(C*)C(=O)OCCCCCCCCCCCCCCCC,1.454,-31.54645236,0.333661973,0.09462148,5.201666667,218.51,333.3550877,50.68636607,109.3616964,2.7,0.16149729,3.153600058,2.13559322,14.37288136,3.079073797,0.947368421,0,-10.75,1.790774084,3.238350363,15.53128903,3.228437364,110.1597987,0,4.195813258,8.74426553,0,2.196428571,1.873312267,-0.092214881,0,0,*C(C*)C(=O)OCCCCCCCCCCCCCCCC,2.61,15.999,36,-104.5983913,-21.13530595,6.456765297,-0.933914208,3.122934972,8.028769611,0,9.409402077,16.63516068,64.67419767,2.613865841,9.531400138,0
404,PI425,*C(C*)C(=O)OCCCCCCCCCCCCCCCCCC,1.45,-30.57538945,0.332315444,0.086442192,5.151571429,218.51,332.8565079,50.47658871,109.3958871,2.7,0.157503053,3.156213855,2.123076923,14.21538462,3.072753685,0.952380952,0,-11.75,1.731950524,3.093438962,14.94260478,4.447437899,123.001442,0,4.201702642,9.530425134,0,2.193548387,1.874792899,-0.093017751,0,0,*C(C*)C(=O)OCCCCCCCCCCCCCCCCCC,2.65,15.999,40,-121.64,-20.96,6.375384615,-0.980967742,3.122941055,8.028772155,0,9.232256842,18.5856,69.24262072,3.484153429,9.531400138,0
405,PI426,*C(C*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,1.446,-20.99940198,0.358016945,0.073700523,5.075426667,218.51,332.0986667,50.15908784,109.4476351,2.7,0.151493374,3.158160559,2.103896104,13.97402597,3.066509308,0.96,0,-13.75,1.636698723,2.852862027,13.98778924,4.544658807,148.6847285,0,4.209867013,11.08665444,0,2.189189189,1.877045033,-0.094619666,0,0,*C(C*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,2.62,15.999,48,-155.552201,-20.71917693,6.249957834,-1.051028385,3.122953302,8.028777261,0,8.945992483,22.50653983,81.68230395,2.698201838,9.531400138,0
406,PI427,*C(C*)C(=O)OCC=C,1.495,25.66378327,0.263380595,0.250222936,7.008,218.51,360.865625,58.83410714,110.6857143,6.65,0.921794872,2.812768017,2.555555556,19.55555556,3.308840255,0.5,0,-3.25,3.149673447,3.836591668,25.05943924,0.681199142,13.34455882,0,5.057436697,3.572803093,0,2.464285714,1.358024691,-0.62962963,0,0,*C(C*)C(=O)OCC=C,2.6,15.999,8,9.444444444,-25.33333333,8.444444444,0.337301587,3.122896421,8.028753601,0,12.50485794,4.48,18.9759528,0.153980127,9.531400138,0
