,ID,SMILES,RI,Tg,TC,MW_ratio,Mass_ave,K_bond_min,K_bond_ave,K_ang_ave,Theta0_ave,K_dih_max,K_dih_ave,VE1_A,AATS0d,AATS0Z,BalabanJ,HybRatio,SaasC,ETA_dBeta,IC1,IC3,MIC1,Mor14,SMR_VSA5,VSA_EState4,VSA_EState8,VR3_A,nN,AATS2d,ATSC1d,ATSC3d,Xch-6d,SlogP_VSA1,SMILES,Monomer_length,Mass_max,nH,ATSC2Z,ATSC5Z,AATSC0Z,AATSC2Z,BCUTd-1h,BCUTZ-1h,nHBDon,MIC0,Kier3,Mor02,Mor19,SMR_VSA1,SMR_VSA3
11,PI13,*C(C*)(C)C,1.507,-29.82950727,0.239525744,0.5,4.675666667,218.51,327.1116667,49.74758333,110.0483333,0.155555556,0.142962963,2.285499853,2.285714286,10.85714286,3.168489873,1,0,-3,1.807354922,2.413799565,11.81493357,0.202930654,26.68911765,0,6.465277778,1.943395563,0,2.25,-0.510204082,0.489795918,0,0,*C(C*)(C)C,2.78,12.011,8,-13.32653061,0,5.632653061,-0.555272109,4.017022705,6.187249066,0,6.66736214,5.333333333,24.30601994,0.581593928,0,0
12,PI14,*C(C*)(CC)C,1.479,6.852372896,0.238234779,0.4,4.675666667,218.51,327.3133333,49.49876667,109.9793333,0.29,0.145407407,2.429858132,2.235294118,11.17647059,3.360435143,1,0,-3.5,1.898093374,3.292770194,13.48042183,0.708530653,33.10993927,0,6.470555556,2.402946997,0,2.233333333,1.501730104,-3.062283737,0,0,*C(C*)(CC)C,2.76,12.011,10,-19.32179931,37.00692042,5.640138408,-0.644059977,4.017980314,6.19509633,0,6.690928202,2.666666667,26.43713058,0.754961651,0,0
13,PI17,*C(CCC*)(C)C,1.466,-8.445789708,0.26184049,0.666666667,4.675666667,232.52,328.12,49.37,109.6725,0.29,0.117037037,2.54201145,2.2,11.4,3.111766194,1,0,-4,1.870950594,3.146439345,13.6167203,0.756503865,39.53076089,0,6.487013889,2.953707376,0,2.277777778,-0.49,-0.15,0,0,*C(CCC*)(C)C,5.24,12.011,12,-26.04,-31.68,5.64,-0.723333333,4.01702824,6.201661028,0,6.704524917,7.2,29.32225826,1.144584099,0,0
14,PI18,*C(CCC*)(CC)C,1.46,-15.3477575,0.255337725,0.571428571,4.675666667,232.52,328.12,49.24838095,109.6785714,0.29,0.125555556,2.651709464,2.173913043,11.56521739,3.330074216,1,0,-4.5,1.825394286,3.762267391,13.44789906,1.642441648,45.95158251,0,6.471866497,3.306101846,0,2.261904762,1.516068053,-2.867674858,0,0,*C(CCC*)(CC)C,5.25,12.011,14,-33.19092628,-11.88468809,5.63705104,-0.790260149,4.017985898,6.206460468,0,6.713071846,4.5,30.8157421,1.109290297,0,0
15,PI19,*C(CCCCCCC*)C,1.468,-35.49252078,0.335492597,0.888888889,4.675666667,232.52,328.12,48.70785185,109.7055556,0.29,0.121234568,3.06480055,2,11.79310345,2.796421872,1,0,-5.5,1.665966339,3.590571081,12.11514027,2.035520163,58.79322576,0,4.06026581,3.799751417,0,2.074074074,-0.475624257,-0.099881094,0,0,*C(CCCCCCC*)C,9.02,12.011,18,-68.24256837,-4.794292509,5.62901308,-1.263751266,3.02191283,6.196610589,0,6.722801821,10,40.00700442,1.611557625,0,0
16,PI20,*C(C*)C1CC1,1.494,80.81778972,0.241876535,0.41185968,5.239923077,218.51,326.8921429,54.3114,106.921,0.155555556,0.154858388,2.404420338,2.666666667,12.53333333,2.104181826,1,0,-4,2.040223929,3.240223929,14.52796537,0.414756177,26.18620207,0,1.740740741,2.710709669,0,2.592592593,1.2,-2.2,0.23570226,0,*C(C*)C1CC1,2.68,12.011,8,-51.32,34.34666667,6.115555556,-1.900740741,3.117596408,6.222950438,0,6.833205916,1.5,21.50671525,0.963680281,0,0
17,PI21,*C(C*)C1CCC1,1.482,86.41333467,0.225308463,0.341528724,5.134125,218.51,313.1923529,51.98666667,106.8138889,0.155555556,0.155555556,2.623213213,2.555555556,12.55555556,2.131938576,1,0,-4.5,1.949137865,3.392147224,13.99703723,0.860983668,32.60702369,0,1.740740741,2.99323572,0,2.617647059,1.333333333,-3.259259259,0.201184464,0,*C(C*)C1CCC1,2.66,12.011,10,-47.28395062,17.81481481,6.024691358,-1.39070443,3.116886969,6.220102018,0,6.8205398,1.25,27.1927516,1.100732418,0,0
18,PI22,*C(C*)C1CCCC1,1.482,87.46065344,0.231107263,0.291714315,5.061736842,218.51,317.912,50.61683333,110.0442857,0.29,0.135509259,2.807752525,2.476190476,12.57142857,2.235462318,1,0,-5,1.867576946,3.344698375,13.47479224,0.781052074,39.02784531,0,1.740740741,3.263593355,0,2.666666667,1.428571429,-5.204081633,0.083333333,0,*C(C*)C1CCCC1,2.79,12.011,12,-31.85714286,1.224489796,5.959183673,-0.758503401,3.116826455,6.21873673,0,6.810697967,1.704142012,28.78736943,0.688373002,0,0
19,PI23,*C(C*)CC1CCCC1,1.485,69.27497856,0.258406248,0.254581746,5.009090909,218.51,319.2434783,50.35645833,110.0045833,0.29,0.133209877,2.932639136,2.416666667,12.58333333,2.108467202,1,0,-5.5,1.79693711,3.584962501,13.00375347,1.018456687,45.44866694,0,1.732638889,3.59206193,0,2.604166667,0.5,-2.868055556,0.102062073,0,*C(C*)CC1CCCC1,2.75,12.011,14,-40.16666667,-32.14583333,5.909722222,-0.836805556,3.038499487,6.220520915,0,6.802894788,2.650887574,31.64606184,1.221484114,0,0
20,PI24,*C(C*)C1CCCCC1,1.454,103.9705347,0.209246003,0.254581746,5.009090909,218.51,319.2434783,50.3545625,110.003125,0.29,0.133909465,2.963010154,2.416666667,12.58333333,2.239538806,1,0,-5.5,1.79693711,3.355388542,13.00375347,2.251596347,45.44866694,0,1.740740741,3.525428279,0,2.604166667,1.5,-3.854166667,0.102062073,0,*C(C*)C1CCCCC1,2.63,12.011,14,-40.16666667,13.5625,5.909722222,-0.836805556,3.116823766,6.218137489,0,6.802894788,2.285714286,31.63161591,1.722980692,0,0
